"","Time_sec","Tensile_Stress_MPa","Strain_m","Load_N","Extension_mm"
"1",0,0,7e-05,5,0
"2",0.05,0,7e-05,4,0.001
"3",0.1,0,7e-05,5,0.005
"4",0.15,0,7e-05,5,0.009
"5",0.2,0,7e-05,4,0.014
"6",0.25,0,7e-05,5,0.018
"7",0.3,0,0.00012,7,0.022
"8",0.35,0,0.00019,11,0.026
"9",0.4,1,0.00025,14,0.03
"10",0.45,1,0.00032,17,0.034
"11",0.5,1,0.00038,21,0.038
"12",0.55,1,0.00045,24,0.043
"13",0.6,1,0.00051,28,0.047
"14",0.65,1,0.00057,31,0.051
"15",0.7,1,0.00064,34,0.055
"16",0.75,1,7e-04,37,0.059
"17",0.8,2,0.00076,40,0.064
"18",0.85,2,0.00082,44,0.068
"19",0.9,2,0.00089,47,0.072
"20",0.95,2,0.00095,50,0.076
"21",1,2,0.00101,54,0.08
"22",1.05,2,0.00108,57,0.084
"23",1.1,2,0.00114,60,0.088
"24",1.15,2,0.0012,64,0.093
"25",1.2,3,0.00127,67,0.097
"26",1.25,3,0.00133,70,0.101
"27",1.3,3,0.0014,73,0.105
"28",1.35,3,0.00146,77,0.109
"29",1.4,3,0.00152,80,0.113
"30",1.45,3,0.00158,83,0.118
"31",1.5,3,0.00165,86,0.122
"32",1.55,3,0.00171,89,0.126
"33",1.6,4,0.00177,93,0.13
"34",1.65,4,0.00184,96,0.134
"35",1.7,4,0.0019,99,0.138
"36",1.75,4,0.00196,102,0.143
"37",1.8,4,0.00203,105,0.147
"38",1.85,4,0.00209,109,0.151
"39",1.9,4,0.00214,112,0.155
"40",1.95,4,0.00221,115,0.159
"41",2,5,0.00227,118,0.163
"42",2.05,5,0.00233,121,0.168
"43",2.1,5,0.0024,125,0.172
"44",2.15,5,0.00246,128,0.176
"45",2.2,5,0.00252,131,0.18
"46",2.25,5,0.00258,134,0.184
"47",2.3,5,0.00264,137,0.188
"48",2.35,5,0.00271,140,0.193
"49",2.4,6,0.00276,143,0.197
"50",2.45,6,0.00281,146,0.201
"51",2.5,6,0.00288,149,0.205
"52",2.55,6,0.00293,152,0.209
"53",2.6,6,0.00299,156,0.213
"54",2.65,6,0.00306,158,0.218
"55",2.7,6,0.00311,161,0.222
"56",2.75,6,0.00317,164,0.226
"57",2.8,6,0.00323,167,0.23
"58",2.85,7,0.00329,170,0.234
"59",2.9,7,0.00335,173,0.238
"60",2.95,7,0.00341,177,0.243
"61",3,7,0.00347,179,0.247
"62",3.05,7,0.00353,183,0.251
"63",3.1,7,0.00359,185,0.255
"64",3.15,7,0.00365,189,0.259
"65",3.2,7,0.00371,192,0.263
"66",3.25,8,0.00377,195,0.268
"67",3.3,8,0.00383,198,0.272
"68",3.35,8,0.00389,201,0.276
"69",3.4,8,0.00395,204,0.28
"70",3.45,8,0.00401,207,0.284
"71",3.5,8,0.00407,210,0.288
"72",3.55,8,0.00413,213,0.293
"73",3.6,8,0.00418,216,0.297
"74",3.65,8,0.0042,219,0.301
"75",3.7,9,0.00422,222,0.305
"76",3.75,9,0.00423,225,0.309
"77",3.8,9,0.00424,228,0.314
"78",3.85,9,0.00426,232,0.318
"79",3.9,9,0.00426,234,0.322
"80",3.95,9,0.00427,237,0.326
"81",4,9,0.00428,240,0.33
"82",4.05,9,0.00429,244,0.334
"83",4.1,10,0.0043,246,0.338
"84",4.15,10,0.0043,250,0.343
"85",4.2,10,0.00431,252,0.347
"86",4.25,10,0.00432,256,0.351
"87",4.3,10,0.00432,259,0.355
"88",4.35,10,0.00432,262,0.359
"89",4.4,10,0.00433,264,0.364
"90",4.45,10,0.00434,268,0.368
"91",4.5,10,0.00434,270,0.372
"92",4.55,11,0.00434,274,0.376
"93",4.6,11,0.00435,277,0.38
"94",4.65,11,0.00435,280,0.384
"95",4.7,11,0.00436,283,0.388
"96",4.75,11,0.00436,286,0.393
"97",4.8,11,0.00437,289,0.397
"98",4.85,11,0.00437,292,0.401
"99",4.9,11,0.00437,295,0.405
"100",4.95,12,0.00437,297,0.409
"101",5,12,0.00438,301,0.414
"102",5.05,12,0.00438,303,0.418
"103",5.1,12,0.00438,306,0.422
"104",5.15,12,0.00439,309,0.426
"105",5.2,12,0.00439,312,0.43
"106",5.25,12,0.00439,315,0.434
"107",5.3,12,0.00439,318,0.438
"108",5.35,12,0.00439,321,0.443
"109",5.4,13,0.00439,324,0.447
"110",5.45,13,0.00439,328,0.451
"111",5.5,13,0.00439,330,0.455
"112",5.55,13,0.0044,333,0.459
"113",5.6,13,0.0044,336,0.464
"114",5.65,13,0.0044,339,0.468
"115",5.7,13,0.0044,342,0.472
"116",5.75,13,0.0044,344,0.476
"117",5.8,13,0.0044,348,0.48
"118",5.85,14,0.0044,350,0.484
"119",5.9,14,0.0044,353,0.488
"120",5.95,14,0.0044,356,0.493
"121",6,14,0.00441,359,0.497
"122",6.05,14,0.00441,362,0.501
"123",6.1,14,0.00441,365,0.505
"124",6.15,14,0.00441,368,0.509
"125",6.2,14,0.00441,370,0.514
"126",6.25,14,0.00441,373,0.518
"127",6.3,15,0.00441,377,0.522
"128",6.35,15,0.00441,379,0.526
