"","Time_sec","Tensile_Stress_MPa","Strain_m","Load_N","Extension_mm"
"1",0,0,-1e-05,3,0
"2",0.05,0,-1e-05,3,0
"3",0.1,0,-1e-05,3,0.004
"4",0.15,0,-1e-05,3,0.008
"5",0.2,0,-1e-05,3,0.012
"6",0.25,0,-1e-05,3,0.017
"7",0.3,0,4e-05,4,0.021
"8",0.35,0,9e-05,7,0.025
"9",0.4,0,0.00014,9,0.029
"10",0.45,0,2e-04,11,0.033
"11",0.5,0,0.00025,13,0.037
"12",0.55,1,0.00031,15,0.042
"13",0.6,1,0.00036,17,0.046
"14",0.65,1,0.00042,19,0.05
"15",0.7,1,0.00048,21,0.054
"16",0.75,1,0.00053,23,0.058
"17",0.8,1,0.00058,25,0.063
"18",0.85,1,0.00064,28,0.067
"19",0.9,1,0.00069,30,0.071
"20",0.95,1,0.00074,32,0.075
"21",1,1,8e-04,34,0.079
"22",1.05,1,0.00086,36,0.083
"23",1.1,1,0.00091,38,0.087
"24",1.15,2,0.00097,40,0.092
"25",1.2,2,0.00103,43,0.096
"26",1.25,2,0.00109,45,0.1
"27",1.3,2,0.00114,47,0.104
"28",1.35,2,0.0012,50,0.108
"29",1.4,2,0.00126,52,0.112
"30",1.45,2,0.00132,54,0.117
"31",1.5,2,0.00138,56,0.121
"32",1.55,2,0.00144,58,0.125
"33",1.6,2,0.00149,61,0.129
"34",1.65,2,0.00155,63,0.133
"35",1.7,3,0.00161,65,0.137
"36",1.75,3,0.00167,67,0.142
"37",1.8,3,0.00173,70,0.146
"38",1.85,3,0.00179,72,0.15
"39",1.9,3,0.00184,74,0.154
"40",1.95,3,0.0019,77,0.158
"41",2,3,0.00197,79,0.163
"42",2.05,3,0.00202,81,0.167
"43",2.1,3,0.00208,83,0.171
"44",2.15,3,0.00214,86,0.175
"45",2.2,3,0.0022,88,0.179
"46",2.25,3,0.00226,90,0.183
"47",2.3,4,0.00232,92,0.187
"48",2.35,4,0.00237,95,0.192
"49",2.4,4,0.00243,97,0.196
"50",2.45,4,0.00249,99,0.2
"51",2.5,4,0.00254,101,0.204
"52",2.55,4,0.00261,103,0.208
"53",2.6,4,0.00266,105,0.213
"54",2.65,4,0.00272,107,0.217
"55",2.7,4,0.00277,109,0.221
"56",2.75,4,0.00283,112,0.225
"57",2.8,4,0.00289,114,0.229
"58",2.85,4,0.00294,116,0.233
"59",2.9,5,0.00299,118,0.237
"60",2.95,5,0.00304,119,0.242
"61",3,5,0.00309,121,0.246
"62",3.05,5,0.00314,123,0.25
"63",3.1,5,0.00319,126,0.254
"64",3.15,5,0.00324,127,0.258
"65",3.2,5,0.00329,130,0.262
"66",3.25,5,0.00335,132,0.267
"67",3.3,5,0.0034,134,0.271
"68",3.35,5,0.00346,136,0.275
"69",3.4,5,0.00352,138,0.279
"70",3.45,5,0.00357,140,0.283
"71",3.5,6,0.00363,142,0.287
"72",3.55,6,0.00368,144,0.292
"73",3.6,6,0.00374,146,0.296
"74",3.65,6,0.0038,148,0.3
"75",3.7,6,0.00385,150,0.304
"76",3.75,6,0.00391,152,0.308
"77",3.8,6,0.00396,155,0.312
"78",3.85,6,0.00401,156,0.317
"79",3.9,6,0.00407,159,0.321
"80",3.95,6,0.00413,161,0.325
"81",4,6,0.00419,163,0.329
"82",4.05,6,0.00424,165,0.333
"83",4.1,6,0.0043,167,0.337
"84",4.15,7,0.00436,170,0.342
"85",4.2,7,0.00442,172,0.346
"86",4.25,7,0.00447,174,0.35
"87",4.3,7,0.00453,176,0.354
"88",4.35,7,0.00459,178,0.358
"89",4.4,7,0.00464,180,0.362
"90",4.45,7,0.0047,183,0.367
"91",4.5,7,0.00476,185,0.371
"92",4.55,7,0.00482,187,0.375
"93",4.6,7,0.00487,189,0.379
"94",4.65,7,0.00493,191,0.383
"95",4.7,7,0.00499,193,0.387
"96",4.75,8,0.00504,195,0.392
"97",4.8,8,0.0051,197,0.396
"98",4.85,8,0.00515,199,0.4
"99",4.9,8,0.00521,201,0.404
"100",4.95,8,0.00527,203,0.408
"101",5,8,0.00532,205,0.412
"102",5.05,8,0.00538,207,0.417
"103",5.1,8,0.00544,209,0.421
"104",5.15,8,0.0055,211,0.425
"105",5.2,8,0.00555,213,0.429
"106",5.25,8,0.00561,215,0.433
"107",5.3,8,0.00567,217,0.437
"108",5.35,9,0.00573,220,0.442
"109",5.4,9,0.00578,222,0.446
"110",5.45,9,0.00584,224,0.45
"111",5.5,9,0.0059,226,0.454
"112",5.55,9,0.00596,228,0.458
"113",5.6,9,0.00602,231,0.463
"114",5.65,9,0.00607,232,0.467
"115",5.7,9,0.00613,235,0.471
"116",5.75,9,0.00619,237,0.475
"117",5.8,9,0.00624,238,0.479
"118",5.85,9,0.0063,241,0.483
"119",5.9,9,0.00636,243,0.487
"120",5.95,9,0.00641,245,0.492
"121",6,10,0.00647,247,0.496
"122",6.05,10,0.00653,249,0.5
"123",6.1,10,0.00659,251,0.504
"124",6.15,10,0.00664,253,0.508
"125",6.2,10,0.0067,255,0.513
"126",6.25,10,0.00676,257,0.517
"127",6.3,10,0.00682,259,0.521
"128",6.35,10,0.00687,261,0.525
"129",6.4,10,0.00693,263,0.529
"130",6.45,10,0.00699,265,0.533
"131",6.5,10,0.00704,267,0.537
"132",6.55,10,0.0071,270,0.542
"133",6.6,11,0.00716,272,0.546
"134",6.65,11,0.00722,274,0.55
"135",6.7,11,0.00728,276,0.554
"136",6.75,11,0.00734,278,0.558
"137",6.8,11,0.00739,280,0.562
"138",6.85,11,0.00745,282,0.567
"139",6.9,11,0.00751,284,0.571
"140",6.95,11,0.00756,286,0.575
"141",7,11,0.00762,288,0.579
"142",7.05,11,0.00768,290,0.583
"143",7.1,11,0.00774,292,0.587
"144",7.15,11,0.0078,294,0.592
"145",7.2,11,0.00785,296,0.596
"146",7.25,12,0.00791,298,0.6
"147",7.3,12,0.00797,300,0.604
"148",7.35,12,0.00803,302,0.608
"149",7.4,12,0.00808,304,0.613
"150",7.45,12,0.00814,306,0.617
"151",7.5,12,0.0082,307,0.621
"152",7.55,12,0.00825,310,0.625
"153",7.6,12,0.00831,312,0.629
"154",7.65,12,0.00837,314,0.633
"155",7.7,12,0.00843,315,0.637
"156",7.75,12,0.00848,317,0.642
"157",7.8,12,0.00854,320,0.646
"158",7.85,12,0.0086,321,0.65
"159",7.9,13,0.00866,323,0.654
"160",7.95,13,0.00871,325,0.658
"161",8,13,0.00877,328,0.662
"162",8.05,13,0.00883,330,0.667
"163",8.1,13,0.00888,332,0.671
"164",8.15,13,0.00894,334,0.675
"165",8.2,13,0.009,336,0.679
"166",8.25,13,0.00906,338,0.683
"167",8.3,13,0.00912,340,0.687
"168",8.35,13,0.00918,342,0.692
"169",8.4,13,0.00923,344,0.696
"170",8.45,13,0.00929,346,0.7
"171",8.5,13,0.00935,348,0.704
"172",8.55,14,0.00941,349,0.708
"173",8.6,14,0.00946,351,0.713
"174",8.65,14,0.00952,353,0.717
"175",8.7,14,0.00958,355,0.721
"176",8.75,14,0.00964,357,0.725
"177",8.8,14,0.0097,359,0.729
"178",8.85,14,0.00975,361,0.733
"179",8.9,14,0.00981,363,0.737
"180",8.95,14,0.00987,365,0.742
"181",9,14,0.00993,366,0.746
"182",9.05,14,0.00999,368,0.75
"183",9.1,14,0.01005,370,0.754
"184",9.15,14,0.01011,372,0.758
"185",9.2,15,0.01016,374,0.762
"186",9.25,15,0.01022,377,0.767
"187",9.3,15,0.01028,379,0.771
"188",9.35,15,0.01034,381,0.775
"189",9.4,15,0.0104,383,0.779
"190",9.45,15,0.01046,385,0.783
"191",9.5,15,0.01051,386,0.787
"192",9.55,15,0.01057,388,0.792
