"","Time_sec","Tensile_Stress_MPa","Strain_m","Load_N","Extension_mm"
"1",0,0,2e-05,3,0
"2",0.05,0,2e-05,3,0
"3",0.1,0,2e-05,3,0.004
"4",0.15,0,2e-05,3,0.008
"5",0.2,0,2e-05,3,0.012
"6",0.25,0,2e-05,3,0.017
"7",0.3,0,5e-05,5,0.021
"8",0.35,0,0.00012,8,0.025
"9",0.4,0,0.00018,11,0.029
"10",0.45,1,0.00024,14,0.033
"11",0.5,1,3e-04,17,0.038
"12",0.55,1,0.00036,20,0.042
"13",0.6,1,0.00042,23,0.046
"14",0.65,1,0.00048,27,0.05
"15",0.7,1,0.00054,30,0.054
"16",0.75,1,6e-04,33,0.058
"17",0.8,1,0.00066,36,0.063
"18",0.85,2,0.00072,39,0.067
"19",0.9,2,0.00079,42,0.071
"20",0.95,2,0.00085,46,0.075
"21",1,2,0.00091,48,0.079
"22",1.05,2,0.00097,52,0.083
"23",1.1,2,0.00103,55,0.087
"24",1.15,2,0.0011,58,0.092
"25",1.2,2,0.00116,62,0.096
"26",1.25,3,0.00123,65,0.1
"27",1.3,3,0.00129,68,0.104
"28",1.35,3,0.00136,72,0.108
"29",1.4,3,0.00142,75,0.112
"30",1.45,3,0.00148,78,0.117
"31",1.5,3,0.00155,82,0.121
"32",1.55,3,0.00161,85,0.125
"33",1.6,3,0.00168,89,0.129
"34",1.65,4,0.00174,92,0.133
"35",1.7,4,0.0018,95,0.137
"36",1.75,4,0.00187,99,0.142
"37",1.8,4,0.00193,102,0.146
"38",1.85,4,0.002,105,0.15
"39",1.9,4,0.00206,109,0.154
"40",1.95,4,0.00212,111,0.158
"41",2,4,0.00219,115,0.163
"42",2.05,5,0.00225,118,0.167
"43",2.1,5,0.00231,121,0.171
"44",2.15,5,0.00238,125,0.175
"45",2.2,5,0.00244,128,0.179
"46",2.25,5,0.0025,132,0.183
"47",2.3,5,0.00257,135,0.188
"48",2.35,5,0.00263,138,0.192
"49",2.4,5,0.00269,142,0.196
"50",2.45,6,0.00275,144,0.2
"51",2.5,6,0.00282,148,0.204
"52",2.55,6,0.00288,151,0.208
"53",2.6,6,0.00294,154,0.213
"54",2.65,6,0.003,158,0.217
"55",2.7,6,0.00307,161,0.221
"56",2.75,6,0.00313,164,0.225
"57",2.8,6,0.00319,167,0.229
"58",2.85,7,0.00325,170,0.233
"59",2.9,7,0.00331,174,0.238
"60",2.95,7,0.00338,177,0.242
"61",3,7,0.00344,181,0.246
"62",3.05,7,0.0035,183,0.25
"63",3.1,7,0.00356,187,0.254
"64",3.15,7,0.00362,190,0.258
"65",3.2,7,0.00368,193,0.262
"66",3.25,8,0.00374,196,0.267
"67",3.3,8,0.0038,199,0.271
"68",3.35,8,0.00387,203,0.275
"69",3.4,8,0.00392,205,0.279
"70",3.45,8,0.00398,209,0.283
"71",3.5,8,0.00404,212,0.288
"72",3.55,8,0.0041,215,0.292
"73",3.6,8,0.00416,218,0.296
"74",3.65,9,0.00423,221,0.3
"75",3.7,9,0.00428,225,0.304
"76",3.75,9,0.00434,228,0.308
"77",3.8,9,0.00441,231,0.312
"78",3.85,9,0.00447,234,0.317
