"","Time_sec","Tensile_Stress_MPa","Strain_m","Load_N","Extension_mm"
"1",0,0,5e-05,6,0
"2",0.05,0,5e-05,6,0.002
"3",0.1,0,5e-05,6,0.007
"4",0.15,0,6e-05,6,0.011
"5",0.2,0,0.00011,9,0.015
"6",0.25,0,0.00018,12,0.019
"7",0.3,1,0.00025,15,0.023
"8",0.35,1,0.00031,17,0.027
"9",0.4,1,0.00037,20,0.032
"10",0.45,1,0.00044,23,0.036
"11",0.5,1,5e-04,25,0.04
"12",0.55,1,0.00057,28,0.044
"13",0.6,1,0.00063,31,0.048
"14",0.65,1,0.00069,34,0.052
"15",0.7,1,0.00075,36,0.057
"16",0.75,2,0.00081,39,0.061
"17",0.8,2,0.00087,42,0.065
"18",0.85,2,0.00094,44,0.069
"19",0.9,2,0.001,47,0.073
"20",0.95,2,0.00106,50,0.077
"21",1,2,0.00113,52,0.082
"22",1.05,2,0.00119,55,0.086
"23",1.1,2,0.00125,58,0.09
"24",1.15,2,0.00131,60,0.094
"25",1.2,2,0.00137,62,0.098
"26",1.25,3,0.00144,65,0.103
"27",1.3,3,0.0015,68,0.107
"28",1.35,3,0.00156,70,0.111
"29",1.4,3,0.00162,73,0.115
"30",1.45,3,0.00168,75,0.119
"31",1.5,3,0.00174,79,0.123
"32",1.55,3,0.0018,81,0.127
"33",1.6,3,0.00186,83,0.132
"34",1.65,3,0.00192,86,0.136
"35",1.7,3,0.00199,89,0.14
"36",1.75,4,0.00204,91,0.144
"37",1.8,4,0.0021,93,0.148
"38",1.85,4,0.00216,96,0.152
"39",1.9,4,0.00222,99,0.157
"40",1.95,4,0.00228,101,0.161
"41",2,4,0.00233,103,0.165
"42",2.05,4,0.00238,105,0.169
"43",2.1,4,0.00244,108,0.173
"44",2.15,4,0.00249,110,0.177
"45",2.2,4,0.00255,112,0.182
"46",2.25,4,0.00261,115,0.186
"47",2.3,5,0.00267,117,0.19
"48",2.35,5,0.00273,120,0.194
"49",2.4,5,0.00277,122,0.198
"50",2.45,5,0.00281,123,0.202
"51",2.5,5,0.00287,126,0.207
"52",2.55,5,0.00292,128,0.211
"53",2.6,5,0.00299,131,0.215
"54",2.65,5,0.00304,134,0.219
"55",2.7,5,0.00311,136,0.223
"56",2.75,5,0.00317,138,0.227
"57",2.8,5,0.00323,141,0.232
"58",2.85,6,0.00329,144,0.236
"59",2.9,6,0.00335,146,0.24
"60",2.95,6,0.00341,148,0.244
"61",3,6,0.00347,151,0.248
"62",3.05,6,0.00353,153,0.253
"63",3.1,6,0.00358,156,0.257
"64",3.15,6,0.00364,158,0.261
"65",3.2,6,0.00371,161,0.265
"66",3.25,6,0.00376,163,0.269
"67",3.3,6,0.00383,166,0.273
"68",3.35,7,0.00389,168,0.277
"69",3.4,7,0.00395,170,0.282
"70",3.45,7,0.004,173,0.286
"71",3.5,7,0.00406,176,0.29
"72",3.55,7,0.00412,178,0.294
"73",3.6,7,0.00418,181,0.298
"74",3.65,7,0.00424,183,0.303
"75",3.7,7,0.0043,185,0.307
"76",3.75,7,0.00436,188,0.311
"77",3.8,7,0.00441,191,0.315
"78",3.85,7,0.00447,193,0.319
"79",3.9,8,0.00453,195,0.323
"80",3.95,8,0.00459,197,0.327
"81",4,8,0.00465,200,0.332
"82",4.05,8,0.00471,202,0.336
"83",4.1,8,0.00477,205,0.34
"84",4.15,8,0.00483,207,0.344
