"","Time_sec","Tensile_Stress_MPa","Strain_m","Load_N","Extension_mm"
"1",0,0,8e-05,4,0
"2",0.05,0,8e-05,4,0
"3",0.1,0,8e-05,4,0.004
"4",0.15,0,8e-05,4,0.008
"5",0.2,0,1e-04,5,0.012
"6",0.25,0,0.00017,8,0.017
"7",0.3,0,0.00023,11,0.021
"8",0.35,1,0.00029,13,0.025
"9",0.4,1,0.00035,15,0.029
"10",0.45,1,0.00041,18,0.033
"11",0.5,1,0.00048,21,0.037
"12",0.55,1,0.00054,23,0.041
"13",0.6,1,6e-04,26,0.046
"14",0.65,1,0.00066,29,0.05
"15",0.7,1,0.00072,31,0.054
"16",0.75,1,0.00078,34,0.058
"17",0.8,1,0.00083,36,0.062
"18",0.85,1,9e-04,38,0.066
"19",0.9,2,0.00095,41,0.071
"20",0.95,2,0.00101,43,0.075
"21",1,2,0.00108,46,0.079
"22",1.05,2,0.00114,48,0.083
"23",1.1,2,0.0012,50,0.087
"24",1.15,2,0.00125,53,0.091
"25",1.2,2,0.00131,56,0.096
"26",1.25,2,0.00137,58,0.1
"27",1.3,2,0.00143,60,0.104
"28",1.35,2,0.00148,62,0.108
"29",1.4,2,0.00154,64,0.112
"30",1.45,3,0.00159,67,0.116
"31",1.5,3,0.00165,70,0.121
"32",1.55,3,0.00171,72,0.125
"33",1.6,3,0.00177,74,0.129
"34",1.65,3,0.00182,77,0.133
"35",1.7,3,0.00188,79,0.137
"36",1.75,3,0.00194,81,0.141
"37",1.8,3,0.002,83,0.146
"38",1.85,3,0.00205,86,0.15
"39",1.9,3,0.00211,88,0.154
"40",1.95,4,0.00217,91,0.158
"41",2,4,0.00223,93,0.162
"42",2.05,4,0.00228,95,0.167
"43",2.1,4,0.00234,98,0.171
"44",2.15,4,0.0024,100,0.175
"45",2.2,4,0.00246,103,0.179
"46",2.25,4,0.00252,105,0.183
"47",2.3,4,0.00257,107,0.187
"48",2.35,4,0.00263,109,0.191
"49",2.4,4,0.00269,112,0.196
"50",2.45,4,0.00275,114,0.2
"51",2.5,4,0.00281,116,0.204
"52",2.55,5,0.00286,119,0.208
"53",2.6,5,0.00292,121,0.212
"54",2.65,5,0.00298,123,0.217
"55",2.7,5,0.00304,126,0.221
"56",2.75,5,0.0031,128,0.225
"57",2.8,5,0.00315,131,0.229
"58",2.85,5,0.00321,133,0.233
"59",2.9,5,0.00327,135,0.237
"60",2.95,5,0.00332,138,0.241
"61",3,5,0.00338,140,0.246
"62",3.05,5,0.00343,142,0.25
"63",3.1,6,0.0035,144,0.254
"64",3.15,6,0.00355,146,0.258
"65",3.2,6,0.00361,149,0.262
"66",3.25,6,0.00366,151,0.266
"67",3.3,6,0.00372,154,0.271
"68",3.35,6,0.00378,156,0.275
"69",3.4,6,0.00384,158,0.279
"70",3.45,6,0.00389,160,0.283
"71",3.5,6,0.00395,162,0.287
"72",3.55,6,0.00401,165,0.291
"73",3.6,6,0.00406,167,0.296
"74",3.65,7,0.00412,169,0.3
"75",3.7,7,0.00418,171,0.304
"76",3.75,7,0.00423,174,0.308
"77",3.8,7,0.00429,176,0.312
"78",3.85,7,0.00434,178,0.316
"79",3.9,7,0.0044,181,0.321
"80",3.95,7,0.00445,183,0.325
"81",4,7,0.00451,185,0.329
"82",4.05,7,0.00456,187,0.333
"83",4.1,7,0.00461,189,0.337
"84",4.15,7,0.00466,191,0.341
"85",4.2,7,0.00472,193,0.346
"86",4.25,8,0.00477,195,0.35
"87",4.3,8,0.00482,197,0.354
"88",4.35,8,0.00488,199,0.358
"89",4.4,8,0.00494,202,0.362
"90",4.45,8,0.00499,204,0.366
"91",4.5,8,0.00505,206,0.371
"92",4.55,8,0.00511,208,0.375
"93",4.6,8,0.00516,211,0.379
"94",4.65,8,0.00522,213,0.383
"95",4.7,8,0.00528,215,0.387
"96",4.75,8,0.00534,217,0.391
"97",4.8,9,0.00539,219,0.396
"98",4.85,9,0.00545,221,0.4
"99",4.9,9,0.0055,224,0.404
"100",4.95,9,0.00556,226,0.408
"101",5,9,0.00562,228,0.412
"102",5.05,9,0.00567,230,0.416
"103",5.1,9,0.00573,232,0.421
"104",5.15,9,0.00578,235,0.425
"105",5.2,9,0.00584,237,0.429
"106",5.25,9,0.0059,239,0.433
"107",5.3,9,0.00595,241,0.437
"108",5.35,9,0.006,244,0.441
"109",5.4,10,0.00606,246,0.446
"110",5.45,10,0.00612,248,0.45
"111",5.5,10,0.00617,250,0.454
"112",5.55,10,0.00623,252,0.458
"113",5.6,10,0.00629,254,0.462
"114",5.65,10,0.00634,256,0.467
"115",5.7,10,0.0064,258,0.471
"116",5.75,10,0.00645,260,0.475
"117",5.8,10,0.00651,262,0.479
"118",5.85,10,0.00657,265,0.483
"119",5.9,10,0.00662,267,0.487
"120",5.95,10,0.00668,269,0.492
"121",6,11,0.00673,271,0.496
"122",6.05,11,0.00679,273,0.5
"123",6.1,11,0.00685,275,0.504
"124",6.15,11,0.0069,277,0.508
"125",6.2,11,0.00695,280,0.512
"126",6.25,11,0.00701,282,0.516
"127",6.3,11,0.00706,284,0.521
"128",6.35,11,0.00712,286,0.525
"129",6.4,11,0.00718,288,0.529
"130",6.45,11,0.00723,290,0.533
"131",6.5,11,0.00729,292,0.537
"132",6.55,11,0.00734,295,0.541
"133",6.6,11,0.0074,297,0.546
"134",6.65,12,0.00746,299,0.55
"135",6.7,12,0.00751,301,0.554
"136",6.75,12,0.00757,303,0.558
"137",6.8,12,0.00763,305,0.562
"138",6.85,12,0.00768,307,0.567
"139",6.9,12,0.00774,309,0.571
"140",6.95,12,0.0078,311,0.575
"141",7,12,0.00785,313,0.579
"142",7.05,12,0.00791,315,0.583
"143",7.1,12,0.00796,317,0.587
"144",7.15,12,0.00802,319,0.592
"145",7.2,12,0.00807,321,0.596
"146",7.25,13,0.00813,323,0.6
"147",7.3,13,0.00819,325,0.604
"148",7.35,13,0.00824,328,0.608
"149",7.4,13,0.0083,330,0.612
"150",7.45,13,0.00835,332,0.616
"151",7.5,13,0.00841,334,0.621
"152",7.55,13,0.00846,336,0.625
"153",7.6,13,0.00852,338,0.629
"154",7.65,13,0.00858,340,0.633
"155",7.7,13,0.00863,342,0.637
"156",7.75,13,0.00869,344,0.641
"157",7.8,13,0.00875,346,0.646
"158",7.85,13,0.0088,347,0.65
"159",7.9,14,0.00886,350,0.654
"160",7.95,14,0.00892,352,0.658
"161",8,14,0.00897,353,0.662
"162",8.05,14,0.00902,355,0.667
"163",8.1,14,0.00908,358,0.671
"164",8.15,14,0.00914,359,0.675
"165",8.2,14,0.00919,361,0.679
"166",8.25,14,0.00925,363,0.683
"167",8.3,14,0.00931,365,0.687
"168",8.35,14,0.00936,367,0.692
"169",8.4,14,0.00942,369,0.696
"170",8.45,14,0.00947,371,0.7
"171",8.5,14,0.00953,373,0.704
"172",8.55,15,0.00959,374,0.708
"173",8.6,15,0.00964,377,0.712
"174",8.65,15,0.0097,379,0.716
"175",8.7,15,0.00976,381,0.721
"176",8.75,15,0.00982,383,0.725
"177",8.8,15,0.00987,385,0.729
"178",8.85,15,0.00993,387,0.733
"179",8.9,15,0.00999,388,0.737
"180",8.95,15,0.01004,390,0.742
"181",9,15,0.0101,392,0.746
"182",9.05,15,0.01016,394,0.75
"183",9.1,15,0.01022,396,0.754
"184",9.15,15,0.01027,397,0.758
"185",9.2,15,0.01033,399,0.762
"186",9.25,16,0.01039,401,0.767
"187",9.3,16,0.01045,403,0.771
"188",9.35,16,0.0105,405,0.775
"189",9.4,16,0.01056,407,0.779
"190",9.45,16,0.01062,409,0.783
"191",9.5,16,0.01067,411,0.787
"192",9.55,16,0.01073,412,0.791
"193",9.6,16,0.01079,414,0.796
"194",9.65,16,0.01085,415,0.8
"195",9.7,16,0.0109,417,0.804
"196",9.75,16,0.01096,419,0.808
"197",9.8,16,0.01103,421,0.812
"198",9.85,16,0.01108,423,0.816
"199",9.9,16,0.01114,425,0.821
"200",9.95,17,0.0112,426,0.825
"201",10,17,0.01126,428,0.829
"202",10.05,17,0.01132,430,0.833
"203",10.1,17,0.01138,432,0.837
"204",10.15,17,0.01144,433,0.842
"205",10.2,17,0.0115,435,0.846
"206",10.25,17,0.01156,436,0.85
"207",10.3,17,0.01161,438,0.854
"208",10.35,17,0.01167,440,0.858
"209",10.4,17,0.01173,442,0.862
"210",10.45,17,0.01179,443,0.867
"211",10.5,17,0.01185,445,0.871
"212",10.55,17,0.01192,446,0.875
"213",10.6,17,0.01198,448,0.879
"214",10.65,17,0.01204,450,0.883
"215",10.7,17,0.0121,451,0.887
"216",10.75,18,0.01217,453,0.891
"217",10.8,18,0.01223,454,0.896
"218",10.85,18,0.0123,456,0.9
"219",10.9,18,0.01236,458,0.904
"220",10.95,18,0.01243,460,0.908
"221",11,18,0.01249,461,0.912
"222",11.05,18,0.01256,462,0.916
"223",11.1,18,0.01262,464,0.921
"224",11.15,18,0.01268,466,0.925
"225",11.2,18,0.01275,467,0.929
"226",11.25,18,0.01282,468,0.933
"227",11.3,18,0.01288,470,0.937
"228",11.35,18,0.01295,472,0.942
