"","Time_sec","Tensile_Stress_MPa","Strain_m","Load_N","Extension_mm"
"1",0,0,-2e-05,6,0
"2",0.05,0,-2e-05,6,0.001
"3",0.1,0,-2e-05,6,0.005
"4",0.15,0,-2e-05,6,0.009
"5",0.2,0,4e-05,8,0.014
"6",0.25,0,1e-04,10,0.018
"7",0.3,0,0.00016,12,0.022
"8",0.35,1,0.00022,14,0.026
"9",0.4,1,0.00027,16,0.03
"10",0.45,1,0.00033,18,0.035
"11",0.5,1,0.00039,21,0.039
"12",0.55,1,0.00045,23,0.043
"13",0.6,1,5e-04,25,0.047
"14",0.65,1,0.00056,27,0.051
"15",0.7,1,0.00062,29,0.055
"16",0.75,1,0.00067,31,0.059
"17",0.8,1,0.00073,33,0.064
"18",0.85,1,0.00079,35,0.068
"19",0.9,1,0.00084,37,0.072
"20",0.95,2,9e-04,39,0.076
"21",1,2,0.00095,41,0.08
"22",1.05,2,0.00101,43,0.085
"23",1.1,2,0.00107,45,0.089
"24",1.15,2,0.00112,47,0.093
"25",1.2,2,0.00118,49,0.097
"26",1.25,2,0.00124,51,0.101
"27",1.3,2,0.00129,53,0.105
"28",1.35,2,0.00135,55,0.109
"29",1.4,2,0.00141,57,0.114
"30",1.45,2,0.00147,59,0.118
"31",1.5,2,0.00152,61,0.122
"32",1.55,2,0.00157,63,0.126
"33",1.6,3,0.00163,65,0.13
"34",1.65,3,0.00169,67,0.135
"35",1.7,3,0.00174,69,0.139
"36",1.75,3,0.0018,71,0.143
"37",1.8,3,0.00186,73,0.147
"38",1.85,3,0.00191,75,0.151
"39",1.9,3,0.00196,77,0.155
"40",1.95,3,0.00202,79,0.16
"41",2,3,0.00207,81,0.164
"42",2.05,3,0.00213,83,0.168
"43",2.1,3,0.00219,85,0.172
"44",2.15,3,0.00224,87,0.176
"45",2.2,3,0.0023,89,0.18
"46",2.25,4,0.00235,91,0.184
"47",2.3,4,0.0024,93,0.189
"48",2.35,4,0.00244,94,0.193
"49",2.4,4,0.0025,96,0.197
"50",2.45,4,0.00255,98,0.201
"51",2.5,4,0.00261,100,0.205
"52",2.55,4,0.00266,101,0.209
"53",2.6,4,0.00271,103,0.214
"54",2.65,4,0.00276,105,0.218
"55",2.7,4,0.00282,107,0.222
"56",2.75,4,0.00287,109,0.226
"57",2.8,4,0.00293,111,0.23
"58",2.85,4,0.00298,113,0.234
"59",2.9,4,0.00303,115,0.239
"60",2.95,5,0.00309,117,0.243
"61",3,5,0.00314,119,0.247
"62",3.05,5,0.00319,121,0.251
"63",3.1,5,0.00325,123,0.255
"64",3.15,5,0.0033,125,0.259
"65",3.2,5,0.00335,126,0.264
"66",3.25,5,0.00341,128,0.268
"67",3.3,5,0.00346,130,0.272
"68",3.35,5,0.00352,132,0.276
"69",3.4,5,0.00357,134,0.28
"70",3.45,5,0.00363,136,0.285
"71",3.5,5,0.00368,138,0.289
"72",3.55,5,0.00374,140,0.293
"73",3.6,6,0.00379,142,0.297
"74",3.65,6,0.00385,144,0.301
"75",3.7,6,0.0039,146,0.305
"76",3.75,6,0.00395,148,0.309
"77",3.8,6,0.004,150,0.314
"78",3.85,6,0.00406,151,0.318
"79",3.9,6,0.00411,153,0.322
"80",3.95,6,0.00416,155,0.326
"81",4,6,0.00422,157,0.33
"82",4.05,6,0.00427,159,0.334
"83",4.1,6,0.00432,161,0.339
"84",4.15,6,0.00437,162,0.343
"85",4.2,6,0.00443,164,0.347
"86",4.25,6,0.00448,166,0.351
"87",4.3,7,0.00453,168,0.355
"88",4.35,7,0.00459,170,0.36
"89",4.4,7,0.00463,172,0.364
"90",4.45,7,0.00469,174,0.368
"91",4.5,7,0.00474,175,0.372
"92",4.55,7,0.0048,177,0.376
"93",4.6,7,0.00484,179,0.38
"94",4.65,7,0.0049,181,0.384
"95",4.7,7,0.00495,183,0.389
"96",4.75,7,0.005,185,0.393
"97",4.8,7,0.00505,187,0.397
"98",4.85,7,0.00511,188,0.401
"99",4.9,7,0.00516,190,0.405
"100",4.95,7,0.00521,192,0.41
"101",5,8,0.00526,194,0.414
"102",5.05,8,0.00532,195,0.418
