"","Time_sec","Tensile_Stress_MPa","Strain_m","Load_N","Extension_mm"
"1",0,0,3e-05,3,0
"2",0.05,0,3e-05,3,0.002
"3",0.1,0,3e-05,3,0.007
"4",0.15,0,4e-05,3,0.011
"5",0.2,0,3e-05,3,0.015
"6",0.25,0,5e-05,3,0.019
"7",0.3,0,1e-04,7,0.023
"8",0.35,0,0.00015,10,0.027
"9",0.4,1,0.00021,13,0.032
"10",0.45,1,0.00026,17,0.036
"11",0.5,1,0.00031,19,0.04
"12",0.55,1,0.00037,23,0.044
"13",0.6,1,0.00042,26,0.048
"14",0.65,1,0.00047,30,0.052
"15",0.7,1,0.00053,32,0.057
"16",0.75,1,0.00058,36,0.061
"17",0.8,2,0.00063,39,0.065
"18",0.85,2,0.00068,42,0.069
"19",0.9,2,0.00074,45,0.073
"20",0.95,2,0.00079,48,0.077
"21",1,2,0.00084,51,0.082
"22",1.05,2,0.00089,54,0.086
"23",1.1,2,0.00095,58,0.09
"24",1.15,2,0.001,61,0.094
"25",1.2,2,0.00106,64,0.098
"26",1.25,3,0.00111,67,0.103
"27",1.3,3,0.00116,70,0.107
"28",1.35,3,0.00121,73,0.111
"29",1.4,3,0.00126,77,0.115
"30",1.45,3,0.00132,80,0.119
"31",1.5,3,0.00137,83,0.123
"32",1.55,3,0.00143,86,0.127
"33",1.6,3,0.00148,89,0.132
"34",1.65,4,0.00153,92,0.136
"35",1.7,4,0.00159,95,0.14
"36",1.75,4,0.00164,98,0.144
"37",1.8,4,0.00169,101,0.148
"38",1.85,4,0.00175,105,0.152
"39",1.9,4,0.0018,108,0.157
"40",1.95,4,0.00185,111,0.161
"41",2,4,0.0019,114,0.165
"42",2.05,5,0.00196,117,0.169
"43",2.1,5,0.00201,120,0.173
"44",2.15,5,0.00207,123,0.177
"45",2.2,5,0.00211,127,0.182
"46",2.25,5,0.00217,130,0.186
"47",2.3,5,0.00222,133,0.19
"48",2.35,5,0.00227,136,0.194
"49",2.4,5,0.00232,139,0.198
"50",2.45,5,0.00237,142,0.202
"51",2.5,6,0.00242,145,0.207
"52",2.55,6,0.00248,148,0.211
"53",2.6,6,0.00253,151,0.215
"54",2.65,6,0.00258,154,0.219
"55",2.7,6,0.00263,157,0.223
"56",2.75,6,0.00268,160,0.227
"57",2.8,6,0.00274,163,0.232
"58",2.85,6,0.00279,166,0.236
"59",2.9,7,0.00284,169,0.24
"60",2.95,7,0.00289,172,0.244
"61",3,7,0.00294,175,0.248
"62",3.05,7,0.00299,178,0.253
"63",3.1,7,0.00304,181,0.257
"64",3.15,7,0.00309,185,0.261
"65",3.2,7,0.00314,187,0.265
"66",3.25,7,0.0032,191,0.269
"67",3.3,8,0.00325,194,0.273
"68",3.35,8,0.0033,197,0.277
"69",3.4,8,0.00335,200,0.282
"70",3.45,8,0.0034,203,0.286
"71",3.5,8,0.00346,206,0.29
"72",3.55,8,0.00351,209,0.294
"73",3.6,8,0.00356,213,0.298
"74",3.65,8,0.00362,216,0.303
"75",3.7,9,0.00367,219,0.307
"76",3.75,9,0.00372,222,0.311
"77",3.8,9,0.00378,225,0.315
"78",3.85,9,0.00383,229,0.319
"79",3.9,9,0.00389,232,0.323
"80",3.95,9,0.00394,236,0.327
"81",4,9,0.00399,238,0.332
"82",4.05,9,0.00405,242,0.336
"83",4.1,9,0.0041,245,0.34
"84",4.15,10,0.00415,248,0.344
"85",4.2,10,0.00421,252,0.348
"86",4.25,10,0.00426,254,0.353
"87",4.3,10,0.00431,258,0.357
"88",4.35,10,0.00437,261,0.361
"89",4.4,10,0.00442,264,0.365
"90",4.45,10,0.00447,267,0.369
"91",4.5,10,0.00452,270,0.373
"92",4.55,11,0.00458,273,0.377
"93",4.6,11,0.00463,277,0.382
"94",4.65,11,0.00468,280,0.386
"95",4.7,11,0.00474,283,0.39
"96",4.75,11,0.00479,286,0.394
"97",4.8,11,0.00484,289,0.398
"98",4.85,11,0.0049,293,0.403
"99",4.9,11,0.00495,295,0.407
"100",4.95,12,0.00501,299,0.411
"101",5,12,0.00506,302,0.415
"102",5.05,12,0.00511,305,0.419
"103",5.1,12,0.00516,308,0.423
"104",5.15,12,0.00521,311,0.427
"105",5.2,12,0.00527,315,0.432
"106",5.25,12,0.00532,317,0.436
"107",5.3,12,0.00538,321,0.44
"108",5.35,13,0.00543,324,0.444
"109",5.4,13,0.00548,327,0.448
"110",5.45,13,0.00553,330,0.453
"111",5.5,13,0.00559,333,0.457
"112",5.55,13,0.00564,336,0.461
"113",5.6,13,0.00569,340,0.465
"114",5.65,13,0.00575,342,0.469
"115",5.7,13,0.00579,346,0.473
"116",5.75,14,0.00585,349,0.477
"117",5.8,14,0.0059,352,0.482
"118",5.85,14,0.00596,355,0.486
"119",5.9,14,0.00601,358,0.49
"120",5.95,14,0.00606,361,0.494
"121",6,14,0.00612,364,0.498
"122",6.05,14,0.00617,368,0.502
"123",6.1,14,0.00622,370,0.507
"124",6.15,14,0.00627,374,0.511
"125",6.2,15,0.00633,377,0.515
"126",6.25,15,0.00638,380,0.519
"127",6.3,15,0.00643,383,0.523
"128",6.35,15,0.00648,386,0.527
"129",6.4,15,0.00654,389,0.532
"130",6.45,15,0.00658,392,0.536
"131",6.5,15,0.00664,395,0.54
"132",6.55,15,0.00669,398,0.544
"133",6.6,16,0.00674,401,0.548
"134",6.65,16,0.00679,404,0.553
"135",6.7,16,0.00685,407,0.557
"136",6.75,16,0.00689,410,0.561
"137",6.8,16,0.00695,413,0.565
"138",6.85,16,0.007,416,0.569
"139",6.9,16,0.00705,419,0.573
"140",6.95,16,0.0071,422,0.577
"141",7,16,0.00716,425,0.582
"142",7.05,17,0.0072,428,0.586
"143",7.1,17,0.00726,431,0.59
"144",7.15,17,0.00731,434,0.594
"145",7.2,17,0.00736,437,0.598
"146",7.25,17,0.00741,440,0.602
"147",7.3,17,0.00746,443,0.607
"148",7.35,17,0.00751,446,0.611
"149",7.4,17,0.00756,449,0.615
"150",7.45,18,0.00761,452,0.619
"151",7.5,18,0.00767,454,0.623
"152",7.55,18,0.00772,458,0.627
"153",7.6,18,0.00777,460,0.632
"154",7.65,18,0.00782,463,0.636
"155",7.7,18,0.00787,466,0.64
"156",7.75,18,0.00792,469,0.644
"157",7.8,18,0.00797,472,0.648
"158",7.85,18,0.00802,475,0.653
"159",7.9,19,0.00807,478,0.657
"160",7.95,19,0.00813,481,0.661
"161",8,19,0.00818,484,0.665
"162",8.05,19,0.00823,487,0.669
"163",8.1,19,0.00828,490,0.673
"164",8.15,19,0.00833,493,0.677
"165",8.2,19,0.00838,496,0.682
"166",8.25,19,0.00844,499,0.686
"167",8.3,19,0.00849,501,0.69
"168",8.35,20,0.00854,505,0.694
"169",8.4,20,0.00859,507,0.698
"170",8.45,20,0.00864,510,0.702
"171",8.5,20,0.00869,513,0.707
"172",8.55,20,0.00874,516,0.711
"173",8.6,20,0.00879,519,0.715
"174",8.65,20,0.00885,521,0.719
"175",8.7,20,0.0089,524,0.723
"176",8.75,20,0.00895,528,0.727
"177",8.8,21,0.009,530,0.732
"178",8.85,21,0.00905,533,0.736
"179",8.9,21,0.0091,536,0.74
"180",8.95,21,0.00915,538,0.744
"181",9,21,0.0092,542,0.748
"182",9.05,21,0.00925,544,0.753
"183",9.1,21,0.0093,547,0.757
"184",9.15,21,0.00935,550,0.761
"185",9.2,21,0.0094,552,0.765
"186",9.25,22,0.00945,556,0.769
"187",9.3,22,0.0095,558,0.773
"188",9.35,22,0.00956,561,0.777
"189",9.4,22,0.0096,564,0.782
"190",9.45,22,0.00966,566,0.786
"191",9.5,22,0.00971,570,0.79
"192",9.55,22,0.00976,572,0.794
"193",9.6,22,0.00981,575,0.798
"194",9.65,22,0.00986,579,0.802
"195",9.7,23,0.00991,581,0.807
"196",9.75,23,0.00997,584,0.811
"197",9.8,23,0.01001,587,0.815
"198",9.85,23,0.01007,589,0.819
"199",9.9,23,0.01012,592,0.823
"200",9.95,23,0.01017,595,0.827
"201",10,23,0.01022,598,0.832
"202",10.05,23,0.01027,601,0.836
"203",10.1,23,0.01032,603,0.84
"204",10.15,23,0.01037,606,0.844
"205",10.2,24,0.01043,609,0.848
"206",10.25,24,0.01047,611,0.852
"207",10.3,24,0.01053,615,0.857
"208",10.35,24,0.01058,617,0.861
"209",10.4,24,0.01063,620,0.865
"210",10.45,24,0.01068,623,0.869
"211",10.5,24,0.01073,625,0.873
"212",10.55,24,0.01078,628,0.877
"213",10.6,24,0.01084,632,0.882
"214",10.65,25,0.01088,634,0.886
"215",10.7,25,0.01094,637,0.89
"216",10.75,25,0.01099,640,0.894
"217",10.8,25,0.01104,642,0.898
"218",10.85,25,0.01109,645,0.903
"219",10.9,25,0.01114,648,0.907
"220",10.95,25,0.01119,650,0.911
"221",11,25,0.01124,653,0.915
"222",11.05,25,0.0113,656,0.919
"223",11.1,26,0.01134,658,0.923
"224",11.15,26,0.01139,661,0.927
"225",11.2,26,0.01144,664,0.932
"226",11.25,26,0.01149,666,0.936
"227",11.3,26,0.01154,669,0.94
"228",11.35,26,0.0116,672,0.944
"229",11.4,26,0.01165,674,0.948
"230",11.45,26,0.0117,677,0.952
"231",11.5,26,0.01175,680,0.957
"232",11.55,26,0.0118,683,0.961
"233",11.6,27,0.01185,685,0.965
"234",11.65,27,0.0119,688,0.969
"235",11.7,27,0.01195,691,0.973
"236",11.75,27,0.012,693,0.977
"237",11.8,27,0.01206,696,0.982
"238",11.85,27,0.0121,699,0.986
"239",11.9,27,0.01216,701,0.99
"240",11.95,27,0.01221,704,0.994
"241",12,27,0.01226,707,0.998
"242",12.05,27,0.01231,709,1.002
"243",12.1,28,0.01236,711,1.007
"244",12.15,28,0.01241,714,1.011
"245",12.2,28,0.01246,717,1.015
"246",12.25,28,0.01251,719,1.019
"247",12.3,28,0.01256,722,1.023
"248",12.35,28,0.01261,725,1.027
"249",12.4,28,0.01266,727,1.032
"250",12.45,28,0.01271,730,1.036
"251",12.5,28,0.01276,732,1.04
"252",12.55,28,0.01281,735,1.044
"253",12.6,29,0.01287,738,1.048
"254",12.65,29,0.01292,740,1.052
"255",12.7,29,0.01297,743,1.057
"256",12.75,29,0.01302,746,1.061
"257",12.8,29,0.01307,748,1.065
"258",12.85,29,0.01312,750,1.069
"259",12.9,29,0.01318,753,1.073
"260",12.95,29,0.01323,756,1.077
"261",13,29,0.01328,758,1.082
"262",13.05,29,0.01333,761,1.086
"263",13.1,30,0.01338,764,1.09
"264",13.15,30,0.01343,766,1.094
"265",13.2,30,0.01348,768,1.098
"266",13.25,30,0.01353,771,1.103
"267",13.3,30,0.01358,773,1.107
"268",13.35,30,0.01363,776,1.111
