"","Time_sec","Tensile_Stress_MPa","Strain_m","Load_N","Extension_mm"
"1",0,0,-1e-05,5,0
"2",0.05,0,-1e-05,5,0
"3",0.1,0,-1e-05,5,0.004
"4",0.15,0,-1e-05,5,0.008
"5",0.2,0,3e-05,7,0.012
"6",0.25,0,8e-05,9,0.017
"7",0.3,0,0.00014,11,0.021
"8",0.35,1,2e-04,13,0.025
"9",0.4,1,0.00026,15,0.029
"10",0.45,1,0.00032,17,0.033
"11",0.5,1,0.00039,20,0.037
"12",0.55,1,0.00044,22,0.042
"13",0.6,1,0.00051,25,0.046
"14",0.65,1,0.00056,27,0.05
"15",0.7,1,0.00062,30,0.054
"16",0.75,1,0.00068,32,0.058
"17",0.8,1,0.00074,34,0.063
"18",0.85,1,0.00081,36,0.067
"19",0.9,1,0.00087,38,0.071
"20",0.95,2,0.00093,41,0.075
"21",1,2,0.00099,43,0.079
"22",1.05,2,0.00105,46,0.083
"23",1.1,2,0.00111,48,0.087
"24",1.15,2,0.00117,50,0.092
"25",1.2,2,0.00123,52,0.096
"26",1.25,2,0.00128,54,0.1
"27",1.3,2,0.00135,57,0.104
"28",1.35,2,0.00141,59,0.108
"29",1.4,2,0.00147,62,0.112
"30",1.45,2,0.00153,64,0.117
"31",1.5,3,0.00159,66,0.121
"32",1.55,3,0.00164,68,0.125
"33",1.6,3,0.00171,70,0.129
"34",1.65,3,0.00176,72,0.133
"35",1.7,3,0.00182,75,0.137
"36",1.75,3,0.00188,77,0.142
"37",1.8,3,0.00194,80,0.146
"38",1.85,3,0.002,82,0.15
"39",1.9,3,0.00205,84,0.154
"40",1.95,3,0.00211,86,0.158
"41",2,3,0.00217,89,0.163
"42",2.05,4,0.00223,91,0.167
"43",2.1,4,0.00229,93,0.171
"44",2.15,4,0.00235,95,0.175
"45",2.2,4,0.0024,97,0.179
"46",2.25,4,0.00246,100,0.183
"47",2.3,4,0.00252,102,0.187
"48",2.35,4,0.00258,104,0.192
"49",2.4,4,0.00264,107,0.196
"50",2.45,4,0.0027,109,0.2
"51",2.5,4,0.00275,111,0.204
"52",2.55,4,0.00281,113,0.208
"53",2.6,4,0.00287,115,0.213
"54",2.65,5,0.00293,117,0.217
"55",2.7,5,0.00299,120,0.221
"56",2.75,5,0.00305,122,0.225
"57",2.8,5,0.0031,124,0.229
"58",2.85,5,0.00316,126,0.233
"59",2.9,5,0.00322,128,0.237
"60",2.95,5,0.00327,131,0.242
