"","Time_sec","Tensile_Stress_MPa","Strain_m","Load_N","Extension_mm"
"1",0,0,2e-05,5,0
"2",0.05,0,2e-05,5,0.001
"3",0.1,0,2e-05,5,0.005
"4",0.15,0,2e-05,5,0.009
"5",0.2,0,6e-05,8,0.014
"6",0.25,0,0.00012,11,0.018
"7",0.3,1,0.00017,15,0.022
"8",0.35,1,0.00022,18,0.026
"9",0.4,1,0.00027,21,0.03
"10",0.45,1,0.00032,24,0.034
"11",0.5,1,0.00037,28,0.039
"12",0.55,1,0.00042,31,0.043
"13",0.6,1,0.00048,34,0.047
"14",0.65,1,0.00053,38,0.051
"15",0.7,2,0.00058,40,0.055
"16",0.75,2,0.00064,44,0.059
"17",0.8,2,7e-04,48,0.064
"18",0.85,2,0.00075,51,0.068
"19",0.9,2,0.00081,54,0.072
"20",0.95,2,0.00087,58,0.076
"21",1,2,0.00092,61,0.08
"22",1.05,3,0.00098,65,0.084
"23",1.1,3,0.00103,68,0.089
"24",1.15,3,0.00109,72,0.093
"25",1.2,3,0.00115,75,0.097
"26",1.25,3,0.0012,79,0.101
"27",1.3,3,0.00126,82,0.105
"28",1.35,3,0.00132,86,0.109
"29",1.4,3,0.00137,89,0.114
"30",1.45,4,0.00143,92,0.118
"31",1.5,4,0.00148,95,0.122
"32",1.55,4,0.00153,99,0.126
"33",1.6,4,0.00159,103,0.13
"34",1.65,4,0.00165,106,0.134
"35",1.7,4,0.0017,109,0.139
"36",1.75,4,0.00176,113,0.143
"37",1.8,4,0.00181,116,0.147
"38",1.85,5,0.00187,119,0.151
"39",1.9,5,0.00193,123,0.155
"40",1.95,5,0.00198,127,0.159
"41",2,5,0.00204,130,0.164
"42",2.05,5,0.00209,134,0.168
"43",2.1,5,0.00215,137,0.172
"44",2.15,5,0.00221,140,0.176
"45",2.2,6,0.00226,144,0.18
"46",2.25,6,0.00232,147,0.184
"47",2.3,6,0.00237,150,0.189
"48",2.35,6,0.00242,154,0.193
"49",2.4,6,0.00248,157,0.197
"50",2.45,6,0.00254,160,0.201
"51",2.5,6,0.00259,164,0.205
"52",2.55,6,0.00264,167,0.209
"53",2.6,7,0.0027,170,0.214
"54",2.65,7,0.00275,173,0.218
"55",2.7,7,0.0028,177,0.222
"56",2.75,7,0.00285,180,0.226
"57",2.8,7,0.00291,183,0.23
"58",2.85,7,0.00296,187,0.234
"59",2.9,7,0.00301,190,0.239
"60",2.95,7,0.00306,193,0.243
"61",3,8,0.00312,196,0.247
"62",3.05,8,0.00317,199,0.251
"63",3.1,8,0.00323,203,0.255
"64",3.15,8,0.00328,206,0.259
"65",3.2,8,0.00333,209,0.264
"66",3.25,8,0.00338,212,0.268
"67",3.3,8,0.00343,215,0.272
"68",3.35,8,0.00349,219,0.276
"69",3.4,9,0.00354,222,0.28
"70",3.45,9,0.0036,225,0.284
"71",3.5,9,0.00365,228,0.289
"72",3.55,9,0.0037,232,0.293
"73",3.6,9,0.00375,235,0.297
"74",3.65,9,0.00381,238,0.301
"75",3.7,9,0.00386,241,0.305
"76",3.75,9,0.00391,244,0.309
"77",3.8,10,0.00397,248,0.314
"78",3.85,10,0.00402,251,0.318
"79",3.9,10,0.00407,254,0.322
"80",3.95,10,0.00413,258,0.326
"81",4,10,0.00418,261,0.33
"82",4.05,10,0.00424,264,0.334
"83",4.1,10,0.00429,268,0.339
"84",4.15,11,0.00434,271,0.343
"85",4.2,11,0.0044,274,0.347
"86",4.25,11,0.00445,277,0.351
"87",4.3,11,0.00451,281,0.355
"88",4.35,11,0.00456,284,0.359
"89",4.4,11,0.00461,287,0.364
"90",4.45,11,0.00466,290,0.368
"91",4.5,11,0.00472,293,0.372
"92",4.55,11,0.00477,297,0.376
"93",4.6,12,0.00482,299,0.38
"94",4.65,12,0.00488,303,0.384
"95",4.7,12,0.00493,306,0.389
"96",4.75,12,0.00499,309,0.393
"97",4.8,12,0.00504,313,0.397
"98",4.85,12,0.00509,315,0.401
"99",4.9,12,0.00514,319,0.405
"100",4.95,12,0.0052,322,0.409
"101",5,13,0.00525,325,0.414
"102",5.05,13,0.0053,328,0.418
"103",5.1,13,0.00536,332,0.422
"104",5.15,13,0.00541,335,0.426
"105",5.2,13,0.00546,338,0.43
"106",5.25,13,0.00552,341,0.434
"107",5.3,13,0.00557,344,0.439
"108",5.35,13,0.00562,347,0.443
"109",5.4,14,0.00567,350,0.447
"110",5.45,14,0.00573,354,0.451
"111",5.5,14,0.00578,356,0.455
"112",5.55,14,0.00583,360,0.459
"113",5.6,14,0.00588,362,0.464
"114",5.65,14,0.00594,366,0.468
"115",5.7,14,0.00598,369,0.472
"116",5.75,14,0.00604,372,0.476
"117",5.8,15,0.00609,375,0.48
"118",5.85,15,0.00614,378,0.484
"119",5.9,15,0.0062,381,0.489
"120",5.95,15,0.00625,385,0.493
"121",6,15,0.0063,387,0.497
"122",6.05,15,0.00635,391,0.501
"123",6.1,15,0.00641,394,0.505
"124",6.15,15,0.00646,397,0.509
"125",6.2,15,0.00651,400,0.514
"126",6.25,16,0.00656,403,0.518
"127",6.3,16,0.00662,407,0.522
"128",6.35,16,0.00667,409,0.526
"129",6.4,16,0.00672,413,0.53
"130",6.45,16,0.00678,415,0.534
"131",6.5,16,0.00683,419,0.539
"132",6.55,16,0.00688,421,0.543
"133",6.6,16,0.00693,425,0.547
"134",6.65,17,0.00699,428,0.551
"135",6.7,17,0.00704,431,0.555
"136",6.75,17,0.00709,434,0.559
"137",6.8,17,0.00714,437,0.564
"138",6.85,17,0.0072,440,0.568
"139",6.9,17,0.00725,443,0.572
"140",6.95,17,0.0073,446,0.576
"141",7,17,0.00735,449,0.58
"142",7.05,18,0.0074,452,0.584
"143",7.1,18,0.00745,455,0.589
"144",7.15,18,0.00751,458,0.593
"145",7.2,18,0.00756,461,0.597
"146",7.25,18,0.00761,464,0.601
"147",7.3,18,0.00766,467,0.605
"148",7.35,18,0.00772,470,0.609
"149",7.4,18,0.00776,473,0.614
"150",7.45,18,0.00782,476,0.618
"151",7.5,19,0.00787,479,0.622
"152",7.55,19,0.00792,482,0.626
"153",7.6,19,0.00797,485,0.63
"154",7.65,19,0.00802,488,0.634
"155",7.7,19,0.00807,491,0.639
"156",7.75,19,0.00812,493,0.643
"157",7.8,19,0.00818,497,0.647
"158",7.85,19,0.00823,499,0.651
"159",7.9,19,0.00827,502,0.655
"160",7.95,20,0.00833,505,0.659
"161",8,20,0.00838,508,0.664
"162",8.05,20,0.00842,511,0.668
"163",8.1,20,0.00848,513,0.672
"164",8.15,20,0.00853,517,0.676
"165",8.2,20,0.00858,519,0.68
"166",8.25,20,0.00863,523,0.684
"167",8.3,20,0.00869,525,0.689
"168",8.35,20,0.00873,528,0.693
"169",8.4,21,0.00879,532,0.697
"170",8.45,21,0.00884,534,0.701
"171",8.5,21,0.00889,537,0.705
"172",8.55,21,0.00894,540,0.709
"173",8.6,21,0.00899,542,0.714
"174",8.65,21,0.00904,546,0.718
"175",8.7,21,0.0091,548,0.722
"176",8.75,21,0.00914,552,0.726
"177",8.8,21,0.0092,554,0.73
"178",8.85,22,0.00925,557,0.734
"179",8.9,22,0.0093,560,0.739
"180",8.95,22,0.00935,563,0.743
"181",9,22,0.0094,566,0.747
"182",9.05,22,0.00945,568,0.751
"183",9.1,22,0.00951,572,0.755
"184",9.15,22,0.00956,574,0.759
"185",9.2,22,0.00961,577,0.764
"186",9.25,22,0.00966,580,0.768
"187",9.3,23,0.0097,583,0.772
"188",9.35,23,0.00976,585,0.776
